,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
96,Código: Add1086198,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Sara del Campo 535, Santiago",$ 285.000,"UF 9,65",1,1,32 m²,,32 m²,,15-06-2021,2020 1ºSem,50,-33.4444887,-70.6440489
97,Código: 28577,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,San Francisco,$ 300.000,"UF 10,16",1,1,,40 m²,40 m²,,16-06-2021,2020 1ºSem,55,-33.4492,-70.6466
98,Código: Add1050203,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Sara del Campo 535, Santiago",$ 285.000,"UF 9,65",1,1,,,34 m²,,18-05-2021,2020 1ºSem,50,-33.4444887,-70.6440489
99,Código: 32838,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Lira,$ 300.000,"UF 10,16",1,1,,35 m²,35 m²,,16-06-2021,2020 1ºSem,50,-33.4458,-70.6403
100,Código: Add1086197,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Sara del Campo 535, Santiago",$ 285.000,"UF 9,65",1,1,32 m²,,32 m²,,15-06-2021,2020 1ºSem,50,-33.4444887,-70.6440489
101,Código: Add1029177,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Carmen 368, Santiago",$ 310.000,"UF 10,5",1,1,35 m²,,35 m²,30.732.845,18-05-2021,2020 1ºSem,55,-33.4482137,-70.6418273
102,Código: Add1029177,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 1D1B, Carmen 368, Santiago",$ 310.000,"UF 10,5",1,1,35 m²,,35 m²,30.732.845,18-05-2021,2020 1ºSem,55,-33.4482137,-70.6418273
103,,,,Santa Rosa,$ 310.000,"UF 10,5",2,2,,42 m²,42 m²,,27-06-2021,,55,-33.4473,-70.6455
104,Código: 34464,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,San Isidro,$ 370.000,"UF 12,53",2,1,,47 m²,50 m²,,18-06-2021,2020 1ºSem,55,-33.4464,-70.6436
105,Código: 33142,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Rosa,"UF 13,2",$ 389.789,2,2,,45 m²,49 m²,,16-06-2021,2020 1ºSem,55,-33.4472,-70.6458
106,Código: Add1086246,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Departamento 2D2B, Sara del Campo 535, Santiago",$ 379.000,"UF 12,83",2,2,43 m²,,43 m²,,16-06-2021,2020 1ºSem,50,-33.4444887,-70.6440489
107,Código: 33143,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santa Rosa,"UF 12,41",$ 366.460,2,2,,42 m²,44 m²,,16-06-2021,2020 1ºSem,55,-33.4472,-70.6458
108,Código: 32200,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,General Gana,$ 360.000,"UF 12,19",2,2,,45 m²,45 m²,,28-06-2021,2020 1ºSem,32,-33.4705,-70.6434
109,Código: 28942,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Placer,$ 310.000,"UF 10,5",3,1,,55 m²,49 m²,,29-06-2021,,,-33.4757,-70.6488
110,Código: 17868,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,San Francisco,$ 500.000,"UF 16,93",1,1,,35 m²,38 m²,,16-06-2021,,,-33.4777,-70.6436
111,Código: 25977,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,General Gana,$ 350.000,"UF 11,85",2,2,,54 m²,55 m²,,16-06-2021,2020 1ºSem,32,-33.4705,-70.6434
112,,,,,,,,,,,,,,,,,
113,Código: 19843,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,San Diego,UF 10,$ 295.294,1,1,,29 m²,30 m²,,16-06-2021,2020 1ºSem,55,-33.4495,-70.6509
114,Código: TT-1740769,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"TARAPACA 1324 DP 504, Santiago",$ 260.000,"UF 8,8",1,1,,37 m²,,26.507.326,21-05-2021,2020 1ºSem,51,-33.44813545,-70.65394207
115,Código: 30679,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Tucapel Jiménez,$ 400.000,"UF 13,55",2,1,,55 m²,56 m²,,16-06-2021,2020 1ºSem,52,-33.4433,-70.6591
116,Código: 31098,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Bombero Adolfo Ossa,$ 250.000,"UF 8,47",1,1,,22 m²,22 m²,,16-06-2021,2020 1ºSem,48,-33.4413,-70.6516
117,Código: TT-1597115,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,"Lord cochrane 166, Santiago",$ 309.000,"UF 10,46",1,1,,26 m²,,,03-06-2021,2020 1ºSem,51,-33.4480584,-70.6548993
