,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
508,Luis Thayer Ojeda ,Departamento,Publicado hace 6 días,2021-07-01,"Las Dalias 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",440.000,,"0,27 UF/m²","0,34 UF/m²",54 m²,48 m²,1,1,1,,,,,,,
509,Luis Thayer Ojeda ,Departamento,Publicado hace 6 días,2021-07-01,"Las Dalias 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",440.000,,"0,27 UF/m²","0,34 UF/m²",54 m²,48 m²,1,1,1,,,,,,,
510,Luis Thayer Ojeda ,Departamento,Publicado hace 6 días,2021-07-01,"Las Dalias 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",440.000,,"0,27 UF/m²","0,34 UF/m²",54 m²,48 m²,1,1,1,,,,,,,
511,Doctor Roberto Del Río / Av. Eliodoro Yañez,Departamento,Publicado hace 6 días,2021-07-01,"Doctor Roberto Del Río 900 - 1200, Las Lilas, Providencia, RM (Metropolitana)",780.000,,"0,2 UF/m²","0,23 UF/m²",134 m²,122 m²,4,3,2,250000 CLP,,,,,,
512,"Metro Salvador , Providencia",Departamento,Publicado hace 6 días,2021-07-01,"Metro Salvador , Providencia, Salvador, Providencia, RM (Metropolitana)",360.000,,"0,28 UF/m²","0,34 UF/m²",42.56 m²,37.63 m²,1,1,,54000 CLP,,,,13 años,1,
513,"Metro Salvador , Providencia",Departamento,Publicado hace 6 días,2021-07-01,"Metro Salvador , Providencia, Salvador, Providencia, RM (Metropolitana)",360.000,,"0,28 UF/m²","0,34 UF/m²",42.56 m²,37.63 m²,1,1,,54000 CLP,,,,13 años,1,
514,"Metro Salvador , Providencia",Departamento,Publicado hace 6 días,2021-07-01,"Metro Salvador , Providencia, Salvador, Providencia, RM (Metropolitana)",360.000,,"0,28 UF/m²","0,34 UF/m²",42.56 m²,37.63 m²,1,1,,54000 CLP,,,,13 años,1,
515,Departamento Cerca De Metro Tobalaba,Departamento,Publicado hace 6 días,2021-07-01,"San Pío X 2400 - 2700, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",890.000,,"0,25 UF/m²","0,24 UF/m²",118 m²,110 m²,3,2,,,,,,,,
516,Arriendo Amoblado // Disponibilidad Inmediata,Departamento,Publicado hace 6 días,2021-07-01,"Concordia 1800 - 2100, Los Leones, Providencia, RM (Metropolitana)",650.000,,"0,26 UF/m²","0,26 UF/m²",85 m²,85 m²,3,2,,,,,,,,
517,A Pasos De Metro Manuel Montt,Departamento,Publicado hace 6 días,2021-07-01,"Manuel Montt 1 - 300, Manuel Montt, Providencia, RM (Metropolitana)",365.000,,"0,29 UF/m²","0,34 UF/m²",43 m²,40 m²,1,1,,62500 CLP,,,,,,
