,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
360,Sin Muebles! Exclusivo Fundadores,Departamento,Publicado hace 13 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",650.000,,"0,41 UF/m²","0,37 UF/m²",53 m²,45 m²,1,1,90000 CLP,1,,,,
361,"Espectacular Departamento, Alcantara /vaticano",Departamento,Publicado hace 13 días,2021-07-01,"Alcántara Con Vaticano ., Vaticano, Las Condes, RM (Metropolitana)",2.500.000,,"0,28 UF/m²","0,24 UF/m²",300 m²,240 m²,5,4,,3,,,,
362,"Amoblado En Edificio De Arquitectura Y Diseño, Alto",Departamento,Publicado hace 13 días,2021-07-01,"Avenida El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",760.000,,"0,4 UF/m²","0,33 UF/m²",64 m²,62 m²,2,2,,1,,,,
363,Gran Departamento Con Vista Despejada - Amoblado,Departamento,Publicado hace 13 días,2021-07-01,"Avenida Américo Vespucio Sur 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",38,1.129.086,"0,26 UF/m²","0,27 UF/m²",146 m²,136 m²,3,2,120000 CLP,1,,,,
364,Fabuloso Departamento Con Vistas Despejadas ,Departamento,Publicado hace 13 días,2021-07-01,"Avenida Américo Vespucio Sur 600 - 900, Metro Escuela Militar, Las Condes, RM (Metropolitana)",45,1.337.076,"0,19 UF/m²","0,24 UF/m²",240 m²,200 m²,3,4,500000 CLP,2,,,,
365,Frente A Plaza Perú - Edificio De Alto Estandard,Departamento,Publicado hace 13 días,2021-07-01,"Carmencita 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",90,2.674.152,"0,3 UF/m²","0,24 UF/m²",300 m²,260 m²,4,5,400000 CLP,3,,,,
366,Hamlet /las Torcazas,Departamento,Publicado hace 13 días,2021-07-01,"Hamlet 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",530.000,,"0,4 UF/m²","0,37 UF/m²",45 m²,40 m²,1,1,100000 CLP,1,,,,
367,El Golf - Nuevo - Metro Alcántara Sin Ruido.,Departamento,Publicado hace 13 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",800.000,,"0,45 UF/m²","0,37 UF/m²",60 m²,50 m²,1,1,,1,,,,
368,  Bajo De Valor   Espectacular Departamento Nuevo,Departamento,Publicado hace 13 días,2021-07-01,"Puerta Del Sol 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",15,445.692,"0,43 UF/m²","0,37 UF/m²",35 m²,35 m²,1,1,,1,,,,
369,  Bajo De Valor   Espectacular Departamento Nuevo,Departamento,Publicado hace 13 días,2021-07-01,"Puerta Del Sol 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",15,445.692,"0,43 UF/m²","0,37 UF/m²",35 m²,35 m²,1,1,,1,,,,
370,Carmencita Frente Plaza Perú Metro El Golf,Departamento,Publicado hace 13 días,2021-07-01,"Carmencita 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.800.000,,"0,21 UF/m²","0,24 UF/m²",286 m²,260 m²,4,5,500000 CLP,2,,,,
371,Departamento Luminoso En Un Excelente Estado De Mantención.,Departamento,Publicado hace 13 días,2021-07-01,"Luz 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,25 UF/m²","0,27 UF/m²",150 m²,130 m²,3,2,151700 CLP,1,,,,
372,"Excelente Departamento, Muy Bien Ubicado",Departamento,Publicado hace 13 días,2021-07-01,"Escandinavia 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.400.000,,"0,31 UF/m²","0,28 UF/m²",152 m²,147 m²,4,3,,2,,,,
