,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
197,Gran Departamento Excelente Ubicación,Departamento,Publicado hace 21 días,2021-07-01,"Paul Harris 900 - 1200, Los Dominicos, Las Condes, RM (Metropolitana)",625.000,,"0,28 UF/m²","0,29 UF/m²",75 m²,75 m²,3,2,70000 CLP,1,,,,
198,Americo Vespucio - Escuela Militar,Departamento,Publicado hace 20 días,2021-07-01,"Americo Vespucio - Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",390.000,,"0,29 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,,,,,,
199,Escuela Militar - El Trovador - Americo,Departamento,Publicado hace 20 días,2021-07-01,"Escuela Militar - El Trovador - Americo, Metro Escuela Militar, Las Condes, RM (Metropolitana)",435.000,,0 UF/m²,,,40 m²,1,1,,,,,,
200,Espacioso Y Cómodo Departamento ,Departamento,Publicado hace 16 días,2021-07-01,"Gustavo V 000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.500.000,,"0,3 UF/m²","0,26 UF/m²",170 m²,139 m²,4,3,,2,,,,
201,Cerca Metro Alcántara,Departamento,Publicado hace 20 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,4 UF/m²","0,33 UF/m²",100 m²,90 m²,2,2,180000 CLP,1,,,,
202,"Excelente Ubicación, A Pasos Metro Escuela Militar",Departamento,Publicado hace 20 días,2021-07-01,"Avenida Américo Vespucio Sur 107 - Departamento 212, Metro Escuela Militar, Las Condes, RM (Metropolitana)",400.000,,"0,22 UF/m²","0,37 UF/m²",60 m²,50 m²,1,1,60000 CLP,1,,,,
203,"Nuevo A Estrenar, Hermoso Moderno Depto  San Fco Asis!",Departamento,Publicado hace 20 días,2021-07-01,"Camino San Francisco De Asis 1 - 300, Puente Nuevo, Lo Barnechea, RM (Metropolitana)",750.000,,"0,46 UF/m²",,55 m²,50 m²,2,2,100000 CLP,1,,,,
204,Roger De Flor / El Bosque,Departamento,Publicado hace 20 días,2021-07-01,"Roger De Flor / El Bosque, Barrio El Golf, Las Condes, RM (Metropolitana)",595.000,,"0,32 UF/m²","0,33 UF/m²",63 m²,60 m²,2,2,90000 CLP,2,,,,
205,Amoblado A Pasos Escuela Militar,Departamento,Publicado hace 20 días,2021-07-01,"Avenida Américo Vespucio Sur 234 - Departamento 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",700.000,,"0,24 UF/m²","0,29 UF/m²",99 m²,95 m²,3,2,,,,,,
206,Amoblado  Cerca De Colegios Verbo Divino Y Villa Maria,Departamento,Publicado hace 20 días,2021-07-01,"Avenida Américo Vespucio Sur 821 - Departamento 22, Barrio El Golf, Las Condes, RM (Metropolitana)",700.000,,"0,24 UF/m²","0,26 UF/m²",99 m²,97 m²,3,3,,1,,,,
207,Metro Alcantara - Departamento Un Dormitorio,Departamento,Publicado hace 20 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",400.000,,"0,28 UF/m²","0,37 UF/m²",48 m²,48 m²,1,1,,1,,,,
208,El Bosque  / Tobalaba,Departamento,Publicado hace 20 días,2021-07-01,"El Bosque  / Tobalaba, Barrio El Golf, Las Condes, RM (Metropolitana)",18,534.830,"0,19 UF/m²","0,29 UF/m²",96 m²,96 m²,3,2,,,,,,
209,4d 3b Amoblado. Impecable. Metro Escuela Militar,Departamento,Publicado hace 20 días,2021-07-01,"La Gioconda 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.900.000,,"0,3 UF/m²","0,24 UF/m²",216 m²,196 m²,5,4,,2,,,,
210,2dorm Sector El Golf Arriendo Sin Comisión,Departamento,Publicado hace 20 días,2021-07-01,"Hamlet 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",28,846.815,"0,32 UF/m²","0,33 UF/m²",89.89 m²,77.4 m²,2,2,,1,,,,
211,Departamento Amoblado En Sector Empresarial Cerro El Plomo,Departamento,Publicado hace 20 días,2021-07-01,"Saturno 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.500.000,,"0,32 UF/m²","0,28 UF/m²",158 m²,142 m²,4,3,150000 CLP,2,,,,
212,"Nuevo,1er Piso, 1dorm 1 Baño Estacionamiento",Departamento,Publicado hace 19 días,2021-07-01,"Camino San Francisco De Asis 115 - Departamento 104, San Damián, Las Condes, RM (Metropolitana)",480.000,,"0,38 UF/m²","0,37 UF/m²",43 m²,40 m²,1,1,,1,,,,
213,Estupendo En Primer Piso Con Vista A Jardin Interior,Departamento,Publicado hace 19 días,2021-07-01,"Avenida Apoquindo 7800 - 8100, Los Dominicos, Las Condes, RM (Metropolitana)",400.000,,"0,37 UF/m²","0,37 UF/m²",36 m²,36 m²,1,1,,,,,,
214,Triplex Con Terraza Privada - Plaza Las Lilas,Departamento,Publicado hace 19 días,2021-07-01,"Jorge Matte Gormaz 1500 - 1800, Las Lilas, Providencia, RM (Metropolitana)",1.300.000,,"0,27 UF/m²","0,27 UF/m²",160 m²,100 m²,2,3,,1,,,,
215,Amoblado-  Triplex Con Terraza Privada - Plaza Las Lilas,Departamento,Publicado hace 19 días,2021-07-01,"Mariano Sánchez Fontecilla 1200 - 1500, Vaticano, Las Condes, RM (Metropolitana)",1.400.000,,"0,29 UF/m²",,160 m²,100 m²,2,3,,1,,,,
216,Parque Arauco / Parque Araucano,Departamento,Publicado hace 19 días,2021-07-01,"Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",610.000,,"0,39 UF/m²","0,37 UF/m²",52 m²,41 m²,1,1,70 CLP,1,,,,
217,Plaza Peru - Clásico - Amoblado - Disponibilidad Inmediata ,Departamento,Publicado hace 19 días,2021-07-01,"Don Carlos 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,37 UF/m²","0,29 UF/m²",99 m²,99 m²,3,2,50000 CLP,1,,,,
218,"Hermoso Departamento 3d, El Golf, Pdte Riesco.",Departamento,Publicado hace 19 días,2021-07-01,"Luz 2989, Centro Financiero, Las Condes, RM (Metropolitana)",900.000,,"0,25 UF/m²","0,27 UF/m²",120 m²,110 m²,3,2,,1,,,,
219,"San Sebastian, A Pasos De Metro Tobalaba",Departamento,Publicado hace 19 días,2021-07-01,"San Sebastián 2700, Centro Financiero, Las Condes, RM (Metropolitana)",550.000,,"0,34 UF/m²","0,37 UF/m²",55 m²,46 m²,1,1,100000 CLP,,,,,
220,Lindo Departamento Amoblado ,Departamento,Publicado hace 19 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",600.000,,"0,4 UF/m²","0,37 UF/m²",50 m²,39 m²,1,1,,1,,,,
221,Departamento Premium A Estrenar !!,Departamento,Publicado hace 19 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",640.000,,"0,44 UF/m²","0,37 UF/m²",48.7 m²,41.2 m²,1,1,,1,,,,
222,Hamlet - Escuela Militar,Departamento,Publicado hace 19 días,2021-07-01,"Hamlet 3900 - 4200, Metro Escuela Militar, Las Condes, RM (Metropolitana)",850.000,,"0,22 UF/m²","0,28 UF/m²",132 m²,120 m²,3,3,170000 CLP,1,,,,
223,Hermoso Departamento A  Con Vista A La Cordillera Nororiente,Departamento,Publicado hace 18 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",1.000.000,,"0,39 UF/m²","0,33 UF/m²",87 m²,69 m²,2,2,150000 CLP,2,,,,
224,"Hermoso Departamento A Estrenar En Torre Nk Bersa, Norte",Departamento,Publicado hace 18 días,2021-07-01,"Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",620.000,,"0,42 UF/m²","0,37 UF/m²",50 m²,45 m²,1,1,75000 CLP,1,,,,
225,Hermoso Departamento A  Con Vista A La Cordillera Nororiente,Departamento,Publicado hace 18 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",1.200.000,,"0,46 UF/m²","0,33 UF/m²",87 m²,69 m²,2,2,150000 CLP,2,,,,
226,Espectacular Departamento En Ubicación Inmejorable.,Departamento,Publicado hace 15 días,2021-07-01,"Ibsen 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",32,950.810,"0,29 UF/m²","0,26 UF/m²",109 m²,96 m²,3,3,,2,,,,
227,"El Golf, Presidente Errázuriz",Departamento,Publicado hace 18 días,2021-07-01,"Gertrudis Echenique 300 - 600, Barrio El Golf, Las Condes, RM (Metropolitana)",1.050.000,,"0,36 UF/m²","0,33 UF/m²",98 m²,78 m²,2,2,,1,,,,
228,Amoblado - Metro Manquehue - A Pasos De Apoquindo,Departamento,Publicado hace 18 días,2021-07-01,"Avenida Manquehue Norte 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.300.000,,"0,22 UF/m²","0,26 UF/m²",196 m²,151 m²,3,3,,1,,,,
229,Acogedor Y Moderno Departamento De 1d/1b A Estrenar,Departamento,Publicado hace 17 días,2021-07-01,"Avenida Manquehue Sur 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",620.000,,"0,47 UF/m²","0,37 UF/m²",44 m²,36 m²,1,1,53000 CLP,,,,,
230,Moderno Y Amplio Departamento De 2d/2b A Estrenar,Departamento,Publicado hace 17 días,2021-07-01,"Avenida Manquehue Sur 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",845.000,,"0,39 UF/m²","0,33 UF/m²",73 m²,60 m²,2,2,90000 CLP,,,,,
231,"Amplio Duplex, Entrega Inmediata.",Departamento,Publicado hace 17 días,2021-07-01,"Avenida Cristóbal Colón 3000 - 3300, Vaticano, Las Condes, RM (Metropolitana)",740.000,,"0,25 UF/m²","0,33 UF/m²",100 m²,80 m²,2,2,,1,,,,
232,Viva En El Golf** Exclusivo Renato Sanch,Departamento,Publicado hace 17 días,2021-07-01,"Viva En El Golf** Exclusivo Renato Sanch, Barrio El Golf, Las Condes, RM (Metropolitana)",44,1.307.363,"0,31 UF/m²","0,27 UF/m²",140 m²,120 m²,3,2,,,,,,
233,"Amoblado, Muy Luminoso ",Departamento,Publicado hace 17 días,2021-07-01,"Kennedy - Amoblado 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",17,533.345,"0,33 UF/m²","0,37 UF/m²",54 m²,50 m²,1,1,95000 CLP,1,,,,
234,"Amoblado, Muy Luminoso ",Departamento,Publicado hace 17 días,2021-07-01,"Kennedy - Amoblado 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",520.000,,"0,32 UF/m²","0,37 UF/m²",54 m²,50 m²,1,1,95000 CLP,1,,,,
235,Alsacia 100,Departamento,Publicado hace 17 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",2.350.000,,"0,26 UF/m²","0,24 UF/m²",300 m²,300 m²,3,4,,3,,,,
236,Barrio El Golf,Departamento,Publicado hace 17 días,2021-07-01,"Avenida Apoquindo 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,23 UF/m²","0,28 UF/m²",160 m²,150 m²,3,3,,2,,,,
237,"Excelente Departamento Sector El Golf, Metro Tobalaba",Departamento,Publicado hace 17 días,2021-07-01,"Roger De Flor 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",22,668.538,"0,31 UF/m²","0,33 UF/m²",71.5 m²,61 m²,2,2,80000 CLP,1,,,,
238,Dpto Grande Sector Rotonda Atenas Las Condes,Departamento,Publicado hace 17 días,2021-07-01,"Robinson Crusoe 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",700.000,,"0,22 UF/m²","0,33 UF/m²",107 m²,96 m²,2,2,,1,,,,
239,"Departamento Amoblado, Excelente Ubicación. El Golf",Departamento,Publicado hace 17 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,32 UF/m²","0,24 UF/m²",160 m²,160 m²,3,3,,2,,,,
240,Gran Departamento De Finas Terminaciones Vistas Despejadas,Departamento,Publicado hace 17 días,2021-07-01,"Detroit / San Felix 1500 - 1800, Estadio Croata, Vitacura, RM (Metropolitana)",80,2.377.024,"0,27 UF/m²",,300 m²,300 m²,4,5,380000 CLP,3,,,,
241,Barrio El Golf // Magdalena,Departamento,Publicado hace 17 días,2021-07-01,"Magdalena 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",980.000,,"0,55 UF/m²",,60 m²,60 m²,1,2,,1,,,,
242,Arriendo Departamento Cercano A Metro Escuela Militar.-,Departamento,Publicado hace 17 días,2021-07-01,"Cruz Del Sur 300 - 600, Metro Escuela Militar, Las Condes, RM (Metropolitana)",43,1.277.650,"0,27 UF/m²","0,24 UF/m²",159 m²,159 m²,4,3,,2,,,,
243,"Moderno De Alta Categoría, Tiene Doble Altura Y Escritorio ",Departamento,Publicado hace 17 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.800.000,,"0,33 UF/m²","0,24 UF/m²",184 m²,160 m²,3,4,180000 CLP,2,,,,
244,"Amoblado En Moderno De Alta Categoría, Tiene Doble Altura",Departamento,Publicado hace 17 días,2021-07-01,"Hamlet 4200 - 4500, Barrio El Golf, Las Condes, RM (Metropolitana)",2.900.000,,"0,53 UF/m²","0,24 UF/m²",184 m²,160 m²,3,4,180000 CLP,2,,,,
245,Hermoso Depto En Las Condes,Departamento,Publicado hace 17 días,2021-07-01,"Colon 4500 - 4800, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",500.000,,"0,31 UF/m²",,54 m²,50 m²,2,1,100000 CLP,1,,,,
246,Amoblado // Vaticano ,Departamento,,2021-07-01,"Vaticano 4200 - 4500, Vaticano, Las Condes, RM (Metropolitana)",750.000,,"0,27 UF/m²","0,26 UF/m²",94 m²,80 m²,3,3,110000 CLP,1,,,,
247,Parque Arauco - Edificio Moderno -  Amoblado De Lujo!,Departamento,Publicado hace 17 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.200.000,,"0,35 UF/m²","0,35 UF/m²",117 m²,97 m²,2,2,,1,,,,
248,Arriendo Mensual Gastos Incluidos,Departamento,Publicado hace 17 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",880.000,,"0,37 UF/m²","0,43 UF/m²",80 m²,80 m²,1,2,,1,,,,
249,"Gran Departamento, Impecable Con Una Marcada Distribución",Departamento,Publicado hace 17 días,2021-07-01,"El Dante 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.650.000,,"0,21 UF/m²","0,24 UF/m²",270 m²,220 m²,5,5,400000 CLP,3,,,,
250,Año 2017 Moderno Diseño Amplio Y Luminoso,Departamento,Publicado hace 17 días,2021-07-01,"El Dante 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.700.000,,"0,3 UF/m²","0,28 UF/m²",190 m²,150 m²,4,5,275000 CLP,2,,,,
251,Escandinavia / San Olav / Narvik / Las Condes,Departamento,Publicado hace 17 días,2021-07-01,"Escandinavia 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",950.000,,"0,3 UF/m²","0,33 UF/m²",107 m²,92 m²,2,2,,1,,,,
252,Maravilloso Departamento  En Excelente Ubicacion,Departamento,Publicado hace 17 días,2021-07-01,"Hermanos Cabot 6600 - 6900, Parque Arauco, Las Condes, RM (Metropolitana)",1.350.000,,"0,27 UF/m²","0,23 UF/m²",170 m²,170 m²,3,2,300000 CLP,2,,,,
253,Metro Los Dominicos,Departamento,Publicado hace 17 días,2021-07-01,"Metro Los Dominicos, Los Dominicos, Las Condes, RM (Metropolitana)",550.000,,"0,38 UF/m²","0,37 UF/m²",49 m²,37 m²,1,1,,1,,,,
254,Encantador Especial Jovenes Metro Golf,Departamento,Publicado hace 17 días,2021-07-01,"Renato Sánchez 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",680.000,,"0,24 UF/m²","0,26 UF/m²",95 m²,90 m²,3,3,,1,,,,
255,Lindo Departamento Con Excelente Vista ,Departamento,Publicado hace 17 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",500.000,,"0,34 UF/m²","0,37 UF/m²",50 m²,44 m²,1,1,65000 CLP,1,,,,
256,Amplio Departamento En Presidente Riesco ,Departamento,Publicado hace 17 días,2021-07-01,"Avenida Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",31,921.097,"0,17 UF/m²","0,23 UF/m²",180 m²,180 m²,3,2,,1,,,,
257,Excelente Departamento Cercano Metro  Y Comercio,Departamento,Publicado hace 17 días,2021-07-01,"Nuestra Señora Del Rosario 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",31,935.953,"0,25 UF/m²","0,28 UF/m²",125 m²,115 m²,4,3,,1,,,,
258,Moderno Departamento Incluye Cortinas Estacionamiento,Departamento,Publicado hace 17 días,2021-07-01,"Puerta Del Sol 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",410.000,,"0,38 UF/m²","0,37 UF/m²",36 m²,36 m²,1,1,90000 CLP,1,,,,
259,"Depto Escuela Militar 1 Dorm, Dos Ambientes $410.1 - 300.- ",Departamento,Publicado hace 16 días,2021-07-01,"Escuela Militar / El Trovador 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",410.000,,"0,29 UF/m²","0,37 UF/m²",48 m²,42 m²,1,1,,,,,,
260,Departamento Moderno,Departamento,Publicado hace 16 días,2021-07-01,"Los Militares 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.000.000,,"0,38 UF/m²","0,33 UF/m²",88 m²,70 m²,2,2,200000 CLP,1,,,,
261,Hermoso Departamento Cerca Del Metro Alcantara,Departamento,Publicado hace 16 días,2021-07-01,"Gertrudis Echenique 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",90,2.674.152,"0,28 UF/m²","0,26 UF/m²",320 m²,320 m²,5,3,,1,,,,
262,Kennedy / Manquehue ,Departamento,Publicado hace 16 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",600.000,,"0,34 UF/m²","0,37 UF/m²",59 m²,48 m²,1,1,,1,,,,
263,Departamento Como Nuevo,Departamento,Publicado hace 16 días,2021-07-01,"Puerto Caldera 6600 - 6900, Parque Arauco, Las Condes, RM (Metropolitana)",40,1.202.477,"0,29 UF/m²","0,28 UF/m²",141.52 m²,118.69 m²,3,3,,2,,,,
264,"Cercano A Metro Escuela Militar, Cocina Tradicional  Amobla.",Departamento,Publicado hace 16 días,2021-07-01,"Orinoco 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",690.000,,"0,27 UF/m²","0,33 UF/m²",86 m²,80 m²,2,2,,1,,,,
265,"Expats Properties, Amoblado, Parque Arauco, Moderno",Departamento,Publicado hace 16 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.250.000,,"0,43 UF/m²","0,33 UF/m²",98 m²,80 m²,2,2,145000 CLP,1,4 años,,,
266,Departamento Luminoso En Un Excelente Estado De Mantención.,Departamento,Publicado hace 16 días,2021-07-01,"Luz 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,25 UF/m²","0,27 UF/m²",150 m²,130 m²,3,2,151700 CLP,1,,,,
267,"Napoleón, Barrio El Golf, Inmejorable Ubicación (1d Y 1b)",Departamento,Publicado hace 16 días,2021-07-01,"Napoleón 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",350.000,,"0,33 UF/m²","0,37 UF/m²",36 m²,36 m²,1,1,,,,,,
268,Departamento Amoblado,Departamento,Publicado hace 16 días,2021-07-01,"La Castellana Norte 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.250.000,,"0,37 UF/m²","0,27 UF/m²",115 m²,105 m²,3,2,200000 CLP,1,,,,
269,Callao Edificio Moderno - Metro Alcantara Sin Muebles ,Departamento,Publicado hace 16 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,35 UF/m²","0,28 UF/m²",145 m²,125 m²,3,3,,2,,,,
270,Callao Edificio Moderno - Metro Alcantara Amoblado De Lujo,Departamento,Publicado hace 16 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.850.000,,"0,43 UF/m²","0,28 UF/m²",145 m²,125 m²,3,3,,2,,,,
271,Metro Escuela Militar / Monoambiente Con Sensacional Vista,Departamento,Publicado hace 16 días,2021-07-01,"Puerta Del Sol 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",21,623.969,"0,54 UF/m²","0,37 UF/m²",39 m²,39 m²,1,1,88000 CLP,,,,,
272,Nuevo Sin Uso 4 Dorm 147  Mtrs2 Más Terrazas,Departamento,Publicado hace 16 días,2021-07-01,"Francisco Cook 600 - 900, Parque Arauco, Las Condes, RM (Metropolitana)",1.700.000,,"0,34 UF/m²","0,28 UF/m²",167 m²,145 m²,4,4,,2,,,,
273,Escandinavia - Av. Apoquindo,Departamento,Publicado hace 16 días,2021-07-01,"Escandinavia 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",659.000,,"0,3 UF/m²","0,33 UF/m²",73 m²,66 m²,2,2,,2,,,,
274,Estupendo Dpto En El Golf,Departamento,Publicado hace 16 días,2021-07-01,"Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",18,543.744,"0,37 UF/m²","0,37 UF/m²",50 m²,39 m²,1,1,70000 CLP,1,,,,
275,Excelente Departamento Amoblado - Metro Tobalaba,Departamento,Publicado hace 16 días,2021-07-01,"Roger De Flor 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",490.000,,"0,28 UF/m²","0,37 UF/m²",58 m²,50 m²,1,1,,1,,,,
276,Excelente Departamento Amoblado - Metro Tobalaba,Departamento,Publicado hace 16 días,2021-07-01,"Roger De Flor 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",490.000,,"0,28 UF/m²","0,37 UF/m²",58 m²,50 m²,1,1,,1,,,,
277,Departamento Zurich/las Condes,Departamento,Publicado hace 16 días,2021-07-01,"Zurich 1 - 300, Centro Financiero, Las Condes, RM (Metropolitana)",580.000,,"0,25 UF/m²","0,33 UF/m²",77 m²,70 m²,2,2,110000 CLP,1,,,,
278,Departamento 3 Dorm Bien Ubicado C / Estaionamiento Y Bodega,Departamento,Publicado hace 16 días,2021-07-01,"Tupungato 9000 - 9300, La Llavería, Vitacura, RM (Metropolitana)",890.000,,"0,25 UF/m²","0,26 UF/m²",120 m²,120 m²,3,3,200000 CLP,1,,,,
