,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
1712,El Litre/ Av. Presidente Kennedy,Departamento,Publicado hace 4 meses,2021-07-02,"El Litre/ Av. Presidente Kennedy, Parque Bicentenario, Vitacura, RM (Metropolitana)",1.400.000,,"0,19 UF/m²",,250 m²,250 m²,2,3,500000 CLP,3,,3,1,,,11,OPNS
1713,Oportunidad Departamento En El Corazón De San Miguel,Departamento,Publicado hace 4 meses,2021-07-02,"Oportunidad Departamento En El Corazón De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",365.000,,"0,26 UF/m²","0,27 UF/m²",47.59 m²,43.53 m²,1,1,65000 CLP,,2 años,,,,,,
1714,Oportunidad Departamento Nuevo En El Corazón De San Miguel,Departamento,Publicado hace 4 meses,2021-07-02,"Oportunidad Departamento Nuevo En El Corazón De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",365.000,,"0,26 UF/m²","0,27 UF/m²",47.59 m²,43.53 m²,1,1,65000 CLP,,2 años,,,,,,
1715,Departamento Nuevo En El Corazón De San Miguel,Departamento,Publicado hace 4 meses,2021-07-02,"Departamento Nuevo En El Corazón De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",360.000,,"0,27 UF/m²",,44.36 m²,40.3 m²,1,2,65000 CLP,,2 años,,,,,,
1716,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 4 meses,2021-07-02,"Santa Elena, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",270.000,,"0,28 UF/m²","0,72 UF/m²",32 m²,32 m²,1,1,40000 CLP,,,,,,,,
1717,Departamento Nuevo En El Corazón De San Miguel,Departamento,Publicado hace 4 meses,2021-07-02,"Departamento Nuevo En El Corazón De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",365.000,,"0,26 UF/m²","0,27 UF/m²",47.59 m²,43.53 m²,1,1,54000 CLP,,2 años,,,,,,
1718,Departamento En Arriendo De 3 Dorm. En Providencia,Departamento,Publicado hace 4 meses,2021-07-02,"Eleodoro Yañez / P. De Valdivia (amoblado), Salvador, Providencia, RM (Metropolitana)",1.090.000,,"0,26 UF/m²","0,23 UF/m²",140 m²,125 m²,3,3,120000 CLP,1,,,,,,,
1719,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 4 meses,2021-07-02,"Marin, Santa Isabel, Santiago, RM (Metropolitana)",280.000,,"0,34 UF/m²","0,72 UF/m²",28 m²,28 m²,1,1,50000 CLP,13,,,,,,,
1720,Departamento En Arriendo De 1 Dorm. En Providencia,Departamento,Publicado hace 4 meses,2021-07-02,"Metro Los Leones, Providencia, RM (Metropolitana)",390.000,,"0,35 UF/m²","0,34 UF/m²",38 m²,33 m²,1,1,90000 CLP,,,,,,,,
1721,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,Publicado hace 4 meses,2021-07-02,"Nuevo Y Espectacular Departamento Km, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,54 UF/m²","0,43 UF/m²",93 m²,75 m²,1,2,,2,,,,,,,
1722,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,Publicado hace 4 meses,2021-07-02,"Manquehue/apoquindo, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",400.000,,"0,35 UF/m²","0,37 UF/m²",38 m²,38 m²,1,1,75000 CLP,,,,,,,,
1723,Departamento En Arriendo De 1 Dorm. En Providencia,Departamento,Publicado hace 4 meses,2021-07-02,"Lota/luis Thayer, Las Lilas, Providencia, RM (Metropolitana)",500.000,,"0,31 UF/m²","0,34 UF/m²",54 m²,49 m²,1,1,120000 CLP,1,,,,,,,
1724,Departamento En Arriendo De 2 Dorm. En Santiago,Departamento,Publicado hace 4 meses,2021-07-02,"Santa Isabel / Lira, Santa Isabel, Santiago, RM (Metropolitana)",430.000,,"0,25 UF/m²","0,84 UF/m²",57.5 m²,55 m²,2,2,70000 CLP,1,,,,,,,
1725,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 4 meses,2021-07-02,"Santa Isabel/ M.a.tocornal, Santa Isabel, Santiago, RM (Metropolitana)",300.000,,"0,27 UF/m²","0,72 UF/m²",38 m²,38 m²,1,1,60000 CLP,,,,,,,,
1726,Departamento En Arriendo De 4 Dorm. En Vitacura,Departamento,Publicado hace 4 meses,2021-07-02,"Santa Teresita, Lo Curro, Vitacura, RM (Metropolitana)",3.990.000,,"0,11 UF/m²",,1230 m²,330 m²,4,4,,3,,,,,,,
1727,Departamento En Arriendo De 2 Dorm. En Providencia,Departamento,Publicado hace 4 meses,2021-07-02,"Metro Los Leones, Providencia, RM (Metropolitana)",590.000,,"0,44 UF/m²","0,32 UF/m²",45 m²,45 m²,2,2,,,,,,,,,
1728,Departamento En Arriendo De 2 Dorm. En Vitacura,Departamento,Publicado hace 4 meses,2021-07-02,"A Pasos De Pasarela De Parque Arauco, Vitacura, RM (Metropolitana)",23,683.394,"0,32 UF/m²","0,32 UF/m²",71 m²,68 m²,2,2,130000 CLP,1,,,,,,,
1729,Departamento En Arriendo De 2 Dorm. En Santiago,Departamento,Publicado hace 4 meses,2021-07-02,"San Isidro/ Copiapó, Santa Isabel, Santiago, RM (Metropolitana)",440.000,,"0,25 UF/m²","0,84 UF/m²",59 m²,56 m²,2,2,75000 CLP,1,,,,,,,
1730,Kennedy // Manquehue,Departamento,Publicado hace 4 meses,2021-07-02,"Kennedy // Manquehue, Pío XI, Vitacura, RM (Metropolitana)",670.000,,"0,32 UF/m²","0,32 UF/m²",71 m²,68 m²,2,2,80000 CLP,1,,2,1,,,,NORORIENTE
1731,23927 Muy Buen Estado,Departamento,Publicado hace 4 meses,2021-07-02,"José Domingo Cañas, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",540.000,,"0,26 UF/m²","0,25 UF/m²",71 m²,71 m²,2,2,92000 CLP,1,2000 años,,,,,,
1732,Departamento En Arriendo A Estrenar ,Departamento,Publicado hace 4 meses,2021-07-02,"Blanco Garces / Dpto Nuevo A Estrenar, 154, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,27 UF/m²","0,26 UF/m²",33 m²,33 m²,1,1,,1,,,,,,,
1733,Departamento En Arriendo De 1 Dorm. En La Cisterna,Departamento,,2021-07-02,"Edificio Celtus/ Metro Lo Ovalle, Lo Ovalle, La Cisterna, RM (Metropolitana)",270.000,,"0,28 UF/m²",,32 m²,32 m²,1,1,50000 CLP,1,,,,,,,
1734,Comodo Depto Amoblado Con Balcon Metro Univ De Santiago,Departamento,Publicado hace 4 meses,2021-07-02,"Comodo Depto Amoblado Con Balcon Metro Univ De Santiago, Universidad de Santiago, Estación Central, RM (Metropolitana)",260.000,,"0,25 UF/m²","0,26 UF/m²",35 m²,33 m²,1,1,45000 CLP,,,1,,,,5,OR
1735,Se Arrienda Cómodo Departamento ,Departamento,Publicado hace 4 meses,2021-07-02,"Lord Cochrane,, Bulnes, Santiago, RM (Metropolitana)",310.000,,"0,3 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,,,,,,,,
1736,Vista Despejada 3d 2b + Terraza + Servicio Baño,Departamento,,2021-07-02,"Rotonda Atenas, Las Condes, RM (Metropolitana)",1.100.000,,"0,3 UF/m²","0,27 UF/m²",124 m²,105 m²,3,2,,2,,5,,,,15,N
1737,Departamento En Arriendo De 2 Dorm. En Las Condes,Departamento,Publicado hace 4 meses,2021-07-02,"Iglesia El Golf -plaza Loreto, Barrio El Golf, Las Condes, RM (Metropolitana)",660.000,,"0,37 UF/m²","0,41 UF/m²",60 m²,60 m²,2,2,170000 CLP,1,,,,,,,
1738,Radal/san Pablo Con Estacionamiento,Departamento,Publicado hace 4 meses,2021-07-02,"Radal/san Pablo Con Estacionamiento, Blanqueado, Quinta Normal, RM (Metropolitana)",360.000,,"0,23 UF/m²","0,25 UF/m²",52 m²,50 m²,2,1,40000 CLP,1,,2,,,,3,
1739,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 3 meses,2021-07-02,"Mac Iver / Merced, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",300.000,,"0,21 UF/m²","0,72 UF/m²",47 m²,47 m²,1,1,45000 CLP,,,,,,,,
1740,Departamento En Arriendo De 2 Dorm. En Las Condes,Departamento,Publicado hace 3 meses,2021-07-02,"Hamlet / Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",520.000,,"0,33 UF/m²",,53 m²,45 m²,2,1,120000 CLP,1,,,,,,,
1741,Departamento En Arriendo De 6 Dorm. En Lo Barnechea,Departamento,Publicado hace 3 meses,2021-07-02,"Penthouse Valle Del Monasterio, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.800.000,,"0,21 UF/m²",,620 m²,420 m²,6,5,650000 CLP,5,,,,,,,
1742,Departamento En Arriendo De 3 Dorm. En Providencia,Departamento,Publicado hace 3 meses,2021-07-02,"Providencia / Huelén, Salvador, Providencia, RM (Metropolitana)",580.000,,"0,2 UF/m²","0,26 UF/m²",100 m²,100 m²,3,2,130000 CLP,,,,,,,,
1743,Metro Plaza Egaña,Departamento,Publicado hace 3 meses,2021-07-02,"Metro Plaza Egaña,, Diagonal Oriente, Ñuñoa, RM (Metropolitana)",350.000,,"0,29 UF/m²","0,31 UF/m²",40 m²,36 m²,1,1,,,,2,,,,,S
1744,Departamento En Arriendo De 2 Dorm. En Santiago,Departamento,Publicado hace 3 meses,2021-07-02,"¡¡¡san Isidro Entre Tarapaca Y Marin!!!!con Cocina Cerra Y Logia*, Santa Isabel, Santiago, RM (Metropolitana)",340.000,,"0,22 UF/m²","0,26 UF/m²",53 m²,50 m²,2,1,70000 CLP,,,,,,,,
1745,Pedro Lira / Antonio Varas,Departamento,Publicado hace 3 meses,2021-07-02,"Pedro Lira / Antonio Varas, Inés de Suárez, Providencia, RM (Metropolitana)",550.000,,"0,31 UF/m²","0,31 UF/m²",60 m²,60 m²,2,2,90000 CLP,1,,2,1,,,,
1746,Departamento En Arriendo De 1 Dorm. En Providencia,Departamento,Publicado hace 3 meses,2021-07-02,"Metro Los Leones, Providencia, RM (Metropolitana)",480.000,,"0,34 UF/m²","0,34 UF/m²",48 m²,45 m²,1,1,,,,,,,,,
