,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
1525,Código: Add1087170,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Gerona,$ 480.000,"UF 16,25",2,2,50 m²,46 m²,46 m²,,16-06-2021,2020 1ºSem,70,-33.4533914,-70.5962802
1526,Código: 202373896,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Plaza Ñuñoa,$ 450.000,"UF 15,24",1,1,,25 m²,25 m²,36.667.580,25-01-2021,2020 1ºSem,70,-33.4526,-70.5942
1527,Código: 201003456,Casa,Casa en Arriendo San Joaquín - Metropolitana Ver ubicación,"Tocornal, Cicarelli",$ 1.100.000,"UF 37,25",3,2,189 m²,80 m²,,,18-06-2021,2020 1ºSem,35,-33.4773,-70.6331
1528,Código: 53206,Departamento,Departamento en Arriendo San Miguel - Metropolitana Ver ubicación,Metro Lo Vial/Lazo,$ 270.000,"UF 9,14",1,1,,32 m²,,,10-06-2021,2020 1ºSem,49,-33.4989,-70.6602
1529,Código: 202052965,Departamento,Departamento en Arriendo San Miguel - Metropolitana Ver ubicación,Av. Lazo / Monja Alférez,$ 390.000,"UF 13,21",2,2,,38 m²,42 m²,37.686.747,16-03-2021,2020 1ºSem,49,-33.4977,-70.6619
1530,Código: 50757,Departamento,Departamento en Arriendo San Miguel - Metropolitana Ver ubicación,lazo/Teodoro Schmidt,$ 250.000,"UF 8,47",1,1,,35 m²,,,20-05-2021,2020 1ºSem,49,-33.4986,-70.6604
1531,,,,,,,,,,,,,,,,,
1532,,,:direccion: Ver ubicación,Obispo Orrego/Av. Grecia,$ 370.000,"UF 12,53",3,2,,62 m²,,31.590.038,01-07-2021,2020 1ºSem,36,-33.4616,-70.6202
1533,,,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Avenida Vicuña Mackenna,$ 360.000,"UF 12,19",2,1,,53 m²,53 m²,,15-04-2020,,,-33.4602,-70.6285
1534,Código: 202376606,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Vicuña Mackenna,$ 300.000,"UF 10,16",1,1,,35 m²,35 m²,27.950.648,01-07-2021,2020 1ºSem,56,-33.4606,-70.6296
1535,Código: 201027324,Casa,Casa en Arriendo Huechuraba - Metropolitana Ver ubicación,Los libertadores con berta correa,$ 790.000,"UF 26,75",3,3,180 m²,86 m²,,,24-06-2021,2020 1ºSem,45,-33.3551,-70.6833
1536,Código: EB-ER0614,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,Valle Escondido.,UF 81,$ 2.391.887,3,2,,208 m²,,,03-03-2020,,,-33.351,-70.4934
1537,Código: 201001974,Casa,Casa en Arriendo Lo Barnechea - Metropolitana Ver ubicación,VALLE ESCONDIDO,$ 11.400.000,"UF 386,05",4,5,2.293 m²,852 m²,,1.058.742.712,18-12-2019,,,-33.3504,-70.4925
