,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
1147,San Pascual 144 Metro Escuela Militar ,Departamento,Publicado hace 6 meses,2021-07-01,"San Pascual 144, Metro Escuela Militar, Las Condes, RM (Metropolitana)",460.000,,"0,31 UF/m²","0,38 UF/m²",50 m²,50 m²,2,2,1,,,,,,,
1148,Alsacia 151,Departamento,Publicado hace 6 meses,2021-07-01,"Alsacia 151, Barrio El Golf, Las Condes, RM (Metropolitana)",15,445.692,"0,3 UF/m²","0,37 UF/m²",50 m²,42 m²,1,1,1,,,,,,,
1149,Alcántara 70,Departamento,Publicado hace 6 meses,2021-07-01,"Alcántara 70, Barrio El Golf, Las Condes, RM (Metropolitana)",1.000.000,,"0,34 UF/m²","0,33 UF/m²",100 m²,100 m²,2,2,1,170000 CLP,,,,,,
1150,Sector El Golf,Departamento,Publicado hace 6 meses,2021-07-01,"Sector El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",500.000,,"0,35 UF/m²","0,37 UF/m²",48 m²,42 m²,1,1,1,,,,,,,
1151,Luminoso,Departamento,Publicado hace 6 meses,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",42,1.247.937,"0,47 UF/m²","0,33 UF/m²",90 m²,85 m²,2,2,1,70000 CLP,,,,,,
1152,Solo Para Exquisitos! En El Golf! Muuuuuy Especial!,Departamento,Publicado hace 6 meses,2021-07-01,"Solo Para Exquisitos! En El Golf! Muuuuuy Especial!, Centro Financiero, Las Condes, RM (Metropolitana)",1.000.000,,"0,32 UF/m²",,104.2 m²,104 m²,2,2,1,50000 CLP,,,,,,
1153,Metro El Golf,Departamento,Publicado hace 6 meses,2021-07-01,"Metro El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",1.300.000,,"0,14 UF/m²",,303.5 m²,260 m²,2,2,1,500000 CLP,,,,,,
1154,Amoblado / Disponibilidad Inmediata / Primera Linea / ,Departamento,Publicado hace 6 meses,2021-07-01,"Amoblado / Disponibilidad Inmediata / Primera Linea /, Barrio El Golf, Las Condes, RM (Metropolitana)",3.500.000,,"0,41 UF/m²","0,24 UF/m²",290 m²,220 m²,3,4,3,450000 CLP,,,,,,
1155,Oportunidad Amoblado!!! Metro Colón / Sánchez,Departamento,Publicado hace 6 meses,2021-07-01,"Oportunidad Amoblado!!! Metro Colón / Sánchez Fontecilla / La Niña, Vaticano, Las Condes, RM (Metropolitana)",530.000,,"0,36 UF/m²","0,37 UF/m²",50 m²,40 m²,1,1,1,,,,,,,
1156,Fray Montalva,Departamento,,2021-07-01,"Fray Montalva, Mall Sport, Las Condes, RM (Metropolitana)",850.000,,"0,68 UF/m²",,42 m²,42 m²,1,2,1,,,,,,,
1157,San Sebastián 2880,Departamento,Publicado hace 42 días,2021-07-01,"San Sebastián 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",380.000,,"0,47 UF/m²","0,37 UF/m²",27 m²,27 m²,1,1,,,,,,,,
1158,Cómodo Departamento Con Vistas En Arriendo En Las Condes,Departamento,Publicado hace 4 meses,2021-07-01,"Cómodo Departamento Con Vistas En Arriendo En Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,43 UF/m²","0,28 UF/m²",125 m²,125 m²,3,3,2,,,,,,,
1159,Precioso Disponibilidad Inmediata !!!!,Departamento,Publicado hace 15 días,2021-07-01,"Ebro 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",500.000,,"0,37 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,,,,,,,,
1160,Colegio Verbo Divino,Departamento,Publicado hace 6 meses,2021-07-01,"Colegio Verbo Divino, Metro Escuela Militar, Las Condes, RM (Metropolitana)",40,1.188.512,"0,2 UF/m²","0,24 UF/m²",200 m²,168 m²,3,4,2,,,,,,,
1161,Amoblado Luz / Presidente Riesco,Departamento,Publicado hace 6 meses,2021-07-01,"Amoblado Luz / Presidente Riesco, Barrio El Golf, Las Condes, RM (Metropolitana)",980.000,,"0,29 UF/m²","0,27 UF/m²",112 m²,106 m²,3,2,,,,,,,,
1162,El Golf - Renato Sanchez Esquina Hendaya,Departamento,Publicado hace 6 meses,2021-07-01,"El Golf - Renato Sanchez Esquina Hendaya, Barrio El Golf, Las Condes, RM (Metropolitana)",2.200.000,,"0,26 UF/m²","0,24 UF/m²",280 m²,240 m²,4,4,2,,,,,,,
1163,Club De Golf / Excelente Estado / Entrega Inmediata,Departamento,,2021-07-01,"Club De Golf / Excelente Estado / Entrega Inmediata, Barrio El Golf, Las Condes, RM (Metropolitana)",1.700.000,,"0,29 UF/m²","0,26 UF/m²",200 m²,160 m²,3,3,2,,,,,,,
1164,Club De Golf - Pte Riesco,Departamento,Publicado hace 6 meses,2021-07-01,"Club De Golf - Pte Riesco, Barrio El Golf, Las Condes, RM (Metropolitana)",89,2.644.439,"0,33 UF/m²","0,24 UF/m²",270 m²,216 m²,3,4,2,,,,,,,
1165,Gertrudiz Echeñique / Napoleon,Departamento,Publicado hace 6 meses,2021-07-01,"Gertrudiz Echeñique / Napoleon, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,22 UF/m²","0,24 UF/m²",250 m²,242 m²,5,5,2,270000 CLP,,,,,,
1166,Presidente Riesco / 1 Dormitorio,Departamento,Publicado hace 6 meses,2021-07-01,"Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",380.000,,"0,28 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,,,,,,,,
1167,Metro Alcántara,Departamento,Publicado hace 6 meses,2021-07-01,"Metro Alcántara, Barrio El Golf, Las Condes, RM (Metropolitana)",500.000,,"0,28 UF/m²",,60 m²,60 m²,1,1,1,,,,,,,
1168,Con O Sin Amoblar Minimalista,Departamento,Publicado hace 6 meses,2021-07-01,"Con O Sin Amoblar Minimalista, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,35 UF/m²","0,37 UF/m²",78 m²,70 m²,2,1,1,,,,,,,
1169,Camino La Viña / San Francisco De Asis,Departamento,Publicado hace 37 días,2021-07-01,"Camino La Viña / San Francisco De Asis, San Damián, Las Condes, RM (Metropolitana)",140,4.159.792,"0,32 UF/m²","0,24 UF/m²",433 m²,372 m²,4,4,5,,,,,,,
1170,Arrienda Departamento 1 Dormitorio Amoblado Full En Plen...,Departamento,Publicado hace 5 meses,2021-07-01,"Arrienda Departamento 1 Dormitorio Amoblado Full En Pleno Barrio El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",690.000,,"0,46 UF/m²","0,37 UF/m²",51 m²,45 m²,1,1,1,,,,,,,
1171,Arrienda Lindo Departamento Sin Muebles En Pleno Barrio ...,Departamento,Publicado hace 5 meses,2021-07-01,"Arrienda Lindo Departamento Sin Muebles En Pleno Barrio El Golf / Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)",19,564.543,"0,33 UF/m²",,57 m²,53 m²,1,1,1,,,,,,,
1172,Los Militares / / Apoquindo,Departamento,,2021-07-01,"Los Militares / / Apoquindo, Metro Escuela Militar, Las Condes, RM (Metropolitana)",25,742.820,"0,36 UF/m²","0,33 UF/m²",70 m²,70 m²,2,2,1,,,,,,,
1173,Burgos -,Departamento,Publicado hace 5 meses,2021-07-01,"Burgos -, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,17 UF/m²","0,26 UF/m²",238 m²,200 m²,4,3,2,215000 CLP,,,,,,
1174,Presidente Riesco-benito Juarez-geronimo De Alderete,Departamento,Publicado hace 5 meses,2021-07-01,"Presidente Riesco-benito Juarez-geronimo De Alderete, Parque Arauco, Las Condes, RM (Metropolitana)",1.100.000,,"0,21 UF/m²","0,26 UF/m²",180 m²,150 m²,3,3,3,,,,,,,
1175,Las Torcazas -,Departamento,Publicado hace 5 meses,2021-07-01,"Las Torcazas -, Barrio El Golf, Las Condes, RM (Metropolitana)",750.000,,"0,36 UF/m²","0,33 UF/m²",70 m²,70 m²,2,2,1,90000 CLP,,,,,,
1176,Moderno Minimalista / Full Amoblado / Cerro Colorado Fre...,Departamento,Publicado hace 5 meses,2021-07-01,"Moderno Minimalista / Full Amoblado / Cerro Colorado Frente Al Parque Araucano, Parque Arauco, Las Condes, RM (Metropolitana)",790.000,,"0,31 UF/m²","0,33 UF/m²",85 m²,75 m²,2,2,1,,,,,,,
1177,La Pastora -,Departamento,Publicado hace 5 meses,2021-07-01,"La Pastora -, Barrio El Golf, Las Condes, RM (Metropolitana)",400.000,,"0,34 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,140000 CLP,,,,,,
1178,Espectacular / Gran Vista Asegurada / Luminoso / Inmejor...,Departamento,Publicado hace 5 meses,2021-07-01,"Espectacular / Gran Vista Asegurada / Luminoso / Inmejorable Ubicación, Barrio El Golf, Las Condes, RM (Metropolitana)",55,1.634.204,"0,39 UF/m²","0,28 UF/m²",140 m²,125 m²,3,3,2,,,,,,,
1179,Luz A Pasos Del Sector Financiero Amplio Ambientes,Departamento,Publicado hace 5 meses,2021-07-01,"Luz A Pasos Del Sector Financiero Amplio Ambientes, Centro Financiero, Las Condes, RM (Metropolitana)",700.000,,"0,17 UF/m²","0,35 UF/m²",142 m²,90 m²,2,2,1,,,,,,,
