,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
83,Código: 102072493,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,AV. LA DEHESA / ALBERT LE BLANC,UF 13.500,$ 398.647.980,3,4,,140 m²,170 m²,183.071.670,18-11-2019,2020 1ºSem,90,-33.3566,-70.519
84,Código: 101077755,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,"DEHESA CENTRAL, PORTAL LA DEHESA",UF 21.900,$ 646.695.612,6,5,516 m²,200 m²,,290.024.655,12-03-2021,2020 1ºSem,87,-33.3579,-70.5198
85,Código: 102037463,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Av. La Dehesa,UF 12.950,$ 382.406.766,3,3,,140 m²,140 m²,154.378.832,02-06-2021,2020 1ºSem,83,-33.3545,-70.5169
86,Código: 101047316,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,"Rodeo, La Dehesa",UF 40.000,$ 1.181.179.200,4,4,924 m²,328 m²,,495.697.557,06-05-2020,2020 1ºSem,74,-33.3524,-70.5152
87,Código: 102135341,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Vista despejada | Portal La Dehesa,UF 11.600,$ 342.541.968,2,3,,105 m²,132 m²,169.678.854,29-05-2021,2020 1ºSem,90,-33.3595,-70.5181
88,,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,LAS ARAUCARIAS/ EL GABINO. COMO NUEVO,UF 8.400,$ 248.047.632,2,2,,86 m²,93 m²,122.831.516,10-04-2021,2020 1ºSem,83,-33.3527,-70.5131
89,Código: 102044828,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Comandante Malbec - Avda. La Dehesa,UF 18.600,$ 549.248.328,2,2,,128 m²,276 m²,179.479.628,21-09-2020,2020 1ºSem,83,-33.3591,-70.5152
90,Código: 101037797,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,El Huinganal/ El Rodeo,UF 14.000,$ 413.412.720,4,3,315 m²,150 m²,150 m²,182.803.378,06-02-2019,2020 1ºSem,74,-33.3543,-70.5111
91,Código: 5597,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Robles,UF 10.000,$ 295.294.800,3,2,,128 m²,144 m²,178.265.976,06-03-2021,,,-33.3527,-70.5185
92,Código: 102078273,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Padre Alfredo Arteaga - Depto con Patio,UF 10.200,$ 301.200.696,2,3,,120 m²,190 m²,101.891.731,06-05-2021,2020 1ºSem,66,-33.3539,-70.5106
