,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
3172,Código: 102008803,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,ESPOZ,UF 30.000,$ 885.884.400,4,3,,220 m²,320 m²,255.110.355,28-05-2021,2020 1ºSem,91,-33.3941,-70.5936
3173,,Casa,Casa en Venta Usado Vitacura - Metropolitana Ver ubicación,PROMESADA: Agustín del Castillo,UF 19.000,$ 561.060.120,3,2,297 m²,152 m²,,178.511.821,22-04-2021,2020 1ºSem,104,-33.3933,-70.5953
3174,Código: 102039143,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Agustin del Castillo / Francisco de Riveros,UF 29.390,$ 867.871.417,3,3,,278 m²,316 m²,349.894.087,06-02-2019,2020 1ºSem,91,-33.3942,-70.5923
3175,Código: 102078730,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Maravilloso departamento duplex con jrdín y piscina en el mejor sector de Vitacura,UF 35.000,$ 1.033.531.800,7,6,,336 m²,356 m²,353.766.304,10-06-2021,2020 1ºSem,91,-33.3955,-70.5921
3176,Código: 102376305,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Plaza Turquía,UF 17.990,$ 531.235.345,3,4,,198 m²,224 m²,239.072.301,10-06-2021,2020 1ºSem,91,-33.3956,-70.5953
3177,Código: 102053146,Departamento,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Al llegar a Francisco de Aguirre,UF 11.900,$ 351.400.812,4,4,,168 m²,190 m²,182.509.035,19-05-2021,2020 1ºSem,97,-33.3925,-70.5922
3178,,,Departamento en Venta Usado Vitacura - Metropolitana Ver ubicación,Agustin del Castillo / Candelaria Goyenechea. Linda vista,UF 9.900,$ 292.341.852,2,2,,76 m²,103 m²,112.878.978,27-05-2021,2020 1ºSem,91,-33.3956,-70.5921
3179,,,,"Manuela Cañas, Club de Polo",UF 24.000,$ 708.707.520,3,3,366 m²,168 m²,,207.465.733,27-05-2021,2020 1ºSem,133,-33.3903,-70.5919
3180,Código: 1302,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,CAMINO DE LA HUERTA,UF 33.000,$ 974.472.840,5,5,1.484 m²,430 m²,,,15-11-2019,2020 1ºSem,91,-33.347,-70.5515
3181,,,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,CAMINO REAL,UF 32.900,$ 971.519.892,4,3,,280 m²,500 m²,407.935.071,10-12-2019,2020 1ºSem,105,-33.347,-70.5535
